name,image,serving_size,prep_time_in_mins,cook_time_in_mins,ingredients,ingredients_name,ingredients_quantity_gram,is_vegetarian,is_breakfast,is_lunch,is_snack,is_dinner,energy_per_serving_kcal,carbohydrate_per_serving_g,protein_per_serving_g,fat_per_serving_g,fiber_per_serving_g
Mung Dal with Fat,,6,20,40,"1 cup or 250 gm Mung dal,200 gm Mutton/beef fat,1 pc Potato (Medium size),1 tsp each Ginger-garlic paste,1/3 cup Chopped onions,1/2 tsp Mace-nutmeg paste,1 tsp Cumin powder,1 tsp Turmeric powder,1/2 tsp Cinnamon powder,1/2 tsp Cardamom powder,2 pcs Bay leaves,4/5 pcs Cloves,1/2 tsp Black cumin ""Shahi jeera""',4/5 pcs Green chili,1/3 cup Vegetable/soybean oil,To taste Salt,1/2 tsp Roasted cumin powder,1/2 tsp Roasted cinnamon-cardamom powder (Optional)",,"250,200,200,10,50,2.5,2.5,2.5,2.5,2.5,1,1,2.5,8,40,5,2.5,2.5",0,0,1,0,1,567.79,32.52,11.02,45.64,8.28
Moshur Daler Bora,,5,20,15,"1 cup Lentils,1 cup Chopped onion,1 tbsp Chopped green chili,1 tsp Cumin powder,1/2 tsp Tumeric powder,1 tsp each Ginger-garlic paste,To taste Salt,To fry Vagetable/soybean oil",,"200,100,5,2.5,1.25,10,5,20",1,0,1,1,1,119.55,12.25,4.25,6.45,3.97
Begun Ghanto,,4,10,20,"1 pc Brinjal/eggplant/aubergine (Large size),1 pc Potato (Medium size),5-6 pcs Dal Bori (Pellets made locally with dal & ash gourd),2 tbsp Chopped onion,1tsp Chopped garlic,2-3 pcs Dried red chili,3-4 pcs Green chili,1/2 tsp Turmeric powder,1 tsp Cumin,2 tbsp Vegetable oil,2 piece Bay leaves,To taste Salt",,"300,150,50,30,5,2,10,1.25,2.5,30,1,5",1,0,1,0,1,177.41,23.47,4.4,8.56,6.01
Dal Khashi Recipe,,8,15,30,"1 kg Mutton (with bone or boneless),250 gm Mung dal,1/2 cup Chopped onion,1 tbsp Ginger paste,1 tbsp Garlic paste,1 tsp Cumin powder,1 tbsp Dried red chili powder,1 tsp Turmeric powder,1/2 tsp Nutmeg powder,A small pc Mace,4 pcs Clove,3 pcs Bay leaves,1/2 tsp Cinnamon powder,1/2 tsp Cardamom powder,1/2 cup Vegetable/soybean oil,1 tsp Roasted spices powder (Cumin, cinnamon & cardamom),To taste Salt",,"1000,250,75,15,15,2.5,15,2.5,1,0.5,1,1,1,100,2.5,5",0,0,1,0,1,574.75,22.23,40.04,36.66,6.31
Chicken Chow Mein,,2,20,15,"2 packets Noodles,100 gm Boneless chicken,As required Vegetables,1/4 tsp Chopped garlic,1 tsp Chopped green chilies,1 tbsp Soy sauce,1 tbsp Tomato ketchup,1 tsp Black pepper powder,2 tbsp Oil,1 tbsp Butter,To taste Sugar (Optional),To taste Salt,1 tbsp Oyster sauce (Optional)",,"400,100,200,1,5,15,15,2.5,30,15,5,5,15",0,0,1,1,1,465.16,38.26,22.08,24.69,1.84
Chicken Noodle Soup,,4,10,20,"2 packets Noodles,1/2 tsp Ginger-garlic paste,1 tbsp Oil/ butter,1 tsp Chopped green chilies,1/2 cup Boneless chicken,1/4 tsp Black pepper powder,1/2 tsp Red chili powder,2 tbsp Tomato sauce,As required Vegetables,To taste Salt",,"400,2.5,30,5,100,0.5,1,30,200,5",0,0,1,1,1,151.28,16.37,8.55,5.56,0.54
Spicy Chicken Fry,,4,120,30,"400 gm Chicken,1 tsp each Ginger-garlic pastes,1 tsp Black pepper powder,1 & 1/2 tsp Red chili powder,1/2 tsp Chili flakes,1tsp Soy sauce,1/2 tsp Italian mixed herb,1 cup Wheat flour,2 tbsp Corn flour,To fry Oil,To taste Salt",,"400,5,2,3,1,5,1,120,15,50,5",0,0,1,1,1,448.29,31.99,34.73,19.36,1.98
Spicy Chicken Spaghetti,,4,30,20,"250 gm Spaghetti,1/2 cup Minced chicken,2 tbsp Butter,1 tsp Chopped garlic,1/2 tsp Chili flakes,2 tbsp Chopped capsicum/bell pepper,As required Oregano-parsley,1/2 cup Grated cheese,1/2 cup Tomato sauce,1 tsp Soy sauce (dark/light),1 tsp Oyster sauce,1 tsp Cooking oil,To taste Salt,To boil Water",,"250,100,30,5,1,30,1,50,120,5,5,5,5,400",0,0,1,1,1,314.95,28.76,17.47,14.16,1.62
Chicken Roast,,4,30,30,"1 kg Whole chicken,1/2 cup Vegetable oil,2 tbsp Ghee,1/2 cup Chopped onion,2 tbsp Crispy fried onion/beresta (optional),1 tsp Sugar,2 tbsp Powder Milk,To taste Salt,2 pcs Bay leaves,1/2 tbsp Caraway/sha-jeera,6-7 pcs Raisin,3-4 pcs Prunes/alu bokhara',1/2 cup Sour yogurt,1 and 1/2 tbsp Ginger-garlic pastes,3 tbsp Cashew nut paste,1 tbsp Dried red chili powder,2 sticks Cinnamon (long),6 pcs Cardamom,5-6 pcs Cloves,1/2 tsp Black pepper,1/2 pc Nutmeg,2 pcs Mace,1/2 tsp White pepper",,"1000,60,30,80,15,5,30,5,1,7.5,10,20,120,15,30,5,5,2,2.5,3,2,2.5",0,0,1,0,1,1085.67,20.68,76.06,77.93,4.49
Kathi Kabab,,4,20,15,"250 gm Boneless beef/mutton/chicken,1 tbsp Onion paste,1 tsp Ginger-garlic pastes,1/2 tsp Cumin powder,1 tsp Red chili powder,1/2 tsp each Cardamom-cinnamon powders,1 tsp Kabab masala,1 tbsp Vegetable/soybean oil,1 tsp Butter,To taste Salt",,"250,15,5,2.5,5,2.5,2.5,5,15,15,5",0,0,1,1,1,213.72,3.03,17.64,13.77,1.22
Chicken Curry,,6,20,40,"600 gm Chicken,4 pcs Potato, medium,2 tbsp Chopped onion,1 tbsp Garlic cloves,1 tbsp Chopped ginger,1 tsp Whole or crushed cumin,1 tsp Turmeric powder,6-7 pcs or to taste Dried red chili,3 pcs Cinnamon,3 pcs Cardamom,4-5 pcs Cloves,2 pcs Bay leaves,2,tbsp Soybean oil,1 tbsp Mustard oil,To taste Salt",,"600,600,30,15,15,5,5,5,3,1,1,1,30,15,5",0,0,1,0,1,415.24,24.8,30,21.78,3.39
Chicken Jhal Fry,,4,20,30,"600 gm Chicken,1 tsp each Ginger-garlic pastes,1 tbsp Red chili powder,1 tsp Cumin powder,1 tsp Turmeric powder,2 pcs Cinnamon,2 pcs Cardamom,2 pcs Cloves,2 pcs Bay leaves,3 tbsp Vegetable/Soybean oil,2 pcs Tomato,To taste Salt,1/3 cup Chopped onion,1/2 tsp Roasted cumin powder",,"600,10,15,5,5,2,1,0.5,1,45,100,5,50,2.5",0,0,1,1,1,622.86,37.2,45,32.68,5.09
Fulkopi Diye Murgir Mangsho,,6,20,30,"1 pc Cauliflower, medium size,800 gm Chicken,2 pcs Potato,1/2 cup Chopped onion,1 tsp Ginger paste,1/2 tsp Garlic paste,1 tsp Cumin powder,1 pc Bay leaf,2 pcs Cinnamon,2 pcs Cardamom,1 tsp Turmeric powder,1 tsp Dried red chili powder,1 tsp Roasted spices powder (Cinnamon, cardamom & cumin),3 tbsp Vegetable/soybean oil,To taste Salt",,"400,800,300,80,5,2.5,5,0.5,2,1,5,5,5,45,5",0,0,1,0,1,460.65,16.52,38.88,26.28,3.06
Mogoj Vuna,,4,20,20,"400 Beef brain,2 tbsp Chopped onion,1 pc Bay leaf,1/2 tsp Cinnamon powder,1/2 tsp Cardamom powder,1/2 tsp each Ginger-garlic pastes,1 tsp Dried red chili powder,1/2 tsp Turmeric powder,1/4 tsp Black pepper powder,1/2 tsp Cumin powder,3 tbsp Vegetable/soybean oil,3/4 pcs Green chilies,To taste Salt",,"400,30,0.5,2.5,2.5,5,5,2.5,1.25,2.5,45,10,5",0,0,1,0,1,259.62,4.68,12.89,21.19,1.34
Gorur Matha Vuna,,4,20,30,"1 pc Cow head, large,1/3 cup Chopped onion,1 tsp each Ginger-garlic pastes,1 tbsp Red chili powder,1 tsp Cumin powder,1 tsp Turmeric powder,3 pcs Cinnamon,4 pcs Cardamom,2 pcs Bay leaves,5-6 pcs Cloves,5-6 pcs Black pepper,1/2 cup Soybean oil,To taste Salt,As required Roasted cumin powder",,"500,50,10,15,5,5,6,2,1,1.5,2,120,5,5",0,0,1,0,1,853.13,7.99,75.96,58.88,3.11
Gorur Mangsho Alu Diye,,6,20,40,"1 kg Beef,1/2 cup Vegetable oil,1/2 cup chopped onion,1/2 tbsp Garlic paste,1/2 tbsp Ginger paste,2 tsp Dried red chili powder,2 pcs Bay leaves,3-4 pcs Cloves,1/2 tsp Coriander powder,1 tsp Cumin powder,1 tsp Turmeric powder,1/2 tsp Roasted cinnamon powder,1/2 tsp Roasted cardamom powder,1/2 tsp Roasted cumin powder,2 pcs Potatoes (Medium in size),A pinch Turmeric or saffron powder,5-6 pcs Black pepper,2-3 pcs Cinnamon,3-4 pcs Cardamom",,"1000,120,80,7.5,7.5,10,1,1,2.5,5,5,2.5,2.5,2.5,200,0.5,3,5,3",0,0,1,0,1,666.02,16.12,45.45,51.68,3.27
Handi Kebab,,5,15,20,"300 gm Beef/mutton,1 tbsp Onion paste,1 tsp each Ginger-garlic paste,2 tbsp Papaya paste,1/2 cup Sour yogurt,1/2 tsp Nutmeg-mace paste',1 tsp Tomato sauce,1/2 tsp Cardamom powder,1/2 tsp Coriander powder,1 tsp Cumin powder,1 tbsp Red chili powder,4,tbsp Vegetable/Soybean oil,3-4 pcs Cinnamon,3-4 pcs Cloves,2 pcs Bay leaves,To taste Salt",,"300,15,10,30,120,2.5,5,2.5,2.5,5,15,60,3,3,2",0,0,1,1,1,301.33,6.99,18.97,24.26,2.25
Bot Vaja,,4,20,20,"500 gm Beef tripe,1 pc Potato (Medium size),1/3 cup Chopped onion,1 tsp each Chopped ginger & garlic,4/5 pcs Dried red chili,3/4 pcs Cinnamon,3 pcs Cardamom,1 pc Bay leaf,3/4 pcs Cloves,1 tsp Cumin,1 tsp Turmeric powder,1/2 tsp Red chili powder,2 tbsp Vegetable/soybean oil,To taste Salt",,"500,200,40,5,5,3.5,2.5,1,2.5,5,2.5,1,30",0,0,1,1,1,231.02,12.86,16.73,12.88,2.69
Beef Chili,,6,30,30,"300 gm Beef (Boneless)',1 cup Broccoli,1/2 cup Capsicum,1/2 cup Onion,2/3 pcs Sliced green chilies,1 tbsp Soy sauce,1 tbsp Tomato sauce,2/3 pcs Dried red chili,1/2 tsp each Ginger-garlic pastes,1/2 tsp Sugar,2 pcs Tomato,1/2 tsp Black pepper
2 tbsp Vegetable/soybean oil,1 tsp Cornflour,To taste Salt,1 tbsp Chopped green onion",,"300,90,75,75,8,15,15,4,2.5,2.5,240,1,30,2.5,3,15",0,0,1,0,1,198.11,6.18,14.15,14.53,1.27
Khashir Mangsho Alu Diye,,6,15,45,"1 kg Mutton,4 pcs Potato,1/2 cup Chopped onion,1 tsp each Ginger-garlic paste,1 tsp Cumin powder,1 tbsp Red chili powder,1/2 tsp Mace-nutmeg paate,1 tsp Papaya paste,1 tsp Turmeric powder,As required Roasted spices powder (Cinnamon, cardamom & cumin),1/2 cup Vegetable/soybean oil,To taste Salt,2 pcs Bay leaves,4 pcs Cloves,1/2 tsp each Cinnamon-cardamom powders",,"1000,800,75,5,2.5,15,2.5,5,2.5,5,120,5,2,4,2.5,2.5






",0,0,1,0,1,781.3,25.26,44.48,57.04,3.73
Ol Diye Ilish Mach,,4,20,30,"4 pcs Hilsa fish,1 kg Arum,8/10 pcs Green chilies,2 tbsp Chopped onion,1/4 cup Oil,1/2 tsp Turmeric powder,To taste Salt",,"400,1000,32,30,60,2.5,5





",0,0,1,0,1,560.5,27.27,29.25,38.3,3.7
Ilish Lej Vorta,,4,10,20,"4 pcs Hilsa tail,4/5 pcs Dried red chilies,2 pcs Chopped green chilies,1/4 cup Chopped onion,3 tbsp Mustard oil,To taste Salt",,"400,5,8,30,45,5",0,0,1,0,1,423.5,2.88,25.52,34.63,0.91
Pui Shak Ilish Matha,,4,20,30,"1 pc Hilsha fish head,500 gm Malabar spinach,2 tbsp Chopped onion,6/7 pcs Green chilies,2 tbsp Oil,1 tsp Turmeric powder,To taste Salt",,"300,500,30,28,30,5,5",0,0,1,0,1,252.95,6.02,15,19.43,3.07
Kachkola Ilisher Jhol,,4,10,25,"500 gm Green banana,4 pcs Hilsa fish,2 tbsp Chopped onion,5/6 pcs Green chilies,2 tbsp Oil,1 tsp Turmeric powder,To taste Salt",,"500,400,30,20,30,5,5",0,0,1,0,1,495.45,30.27,26.63,30.93,3.7
Begun Chingri,,4,10,30,"1 pc (Medium in size) Egg plant,8/10 pcs (Large in size) Prawns,2 tbsp Chopped onion,7/8 pcs Green chilies,1 pc (Medium in size) Potatoes,1 tsp Mustard paste,1 tsp Turmeric powder,2 tbsp Oil,To taste Salt",,"250,200,30,20,200,5,5,30,5",0,0,1,0,1,185.08,12.69,16.19,8.62,2.78
Macher Kabab,,6,20,20,"4 pcs Fish,150 gm Boiled mashed potato,1 tbsp Fried onion,1 tsp Chopped green chilies,1 tbsp Chopped coriander leaves,1/2 tsp Cumin powder,1/2 tsp Coriander powder,1/2 tsp Garam masala powder,1/2 tsp Red chili powder,1 tsp Ginger-garlic paste,To taste Salt,1/2 Beaten egg,To fry Oil",,"800,150,15,5,15,2.5,2.5,2.5,2.5,5,5,25,100",0,0,1,1,1,219.29,6.51,16.51,13.92,1.02
Lau Chingri,,4,10,20,"1 medium size Bottle gourd,1/2 of a large size Potato,100 gm Prawn,2 tbsp Chopped onion,5/6 pcs Green chilies,To taste Salt,1/2 tsp Turmeric powder,1/2 tsp Cumin powder,2 tbsp Oil",,"300,75,100,30,10,5,2.5,2.5,30",0,0,1,0,1,149.47,13.43,7.77,8.04,2.55
Rui Macher Vuna,,6,15,30,"8 pcs Rohu fish,1 cup Chopped onion,1 tsp each Ginger-garlic pastes,1 tsp Cumin powder,1 tsp Coriander powder,1/2 tsp Cinnamon-cardamom powder,1 tbsp Red chili powder,1 tsp Turmeric powder,1/2 cup Oil,6-7 pcs Green chilies,1 pc Tomato,As required Coriander leaves,To taste Salt,2 pcs Bay leaves",,"1000,150,10,2.5,2.5,2.5,15,2.5,120,20,100,10,5,1",0,0,1,0,1,335.59,5.9,26.42,23.47,2
Makha Ilish,,6,10,15,"6 pcs Hilsa fish,1 cup Chopped onion,5/6 pcs Green chilies,3 tbsp Mustard oil,1/2 tsp Turmeric powder,To taste Salt",,"1200,150,20,45,2.5,5",0,0,1,0,1,386.27,2.3,25.29,30.54,0.46
Borboti Chingri Vorta,,4,20,20,"250 gm Long beans,100 gm Shrimps,2 tbsp Chopped onion,7-8 pcs Green chilies,5-6 pcs Garlic,1/4 tsp Cumin,1 tbsp Mustard oil,1 tbsp Cooking oil,To taste Salt",,"250,100,30,30,10,1.25,15,15,5",0,0,1,0,1,131.18,7.61,8.18,8.05,2.09
Echor Chingri Recipe,,6,30,45,"500 gm Raw Jackfruit,200 gm Prawn/shrimp,1/3 cup Chopped onion,1 tsp each Ginger-garlic pastes,1 tsp Cumin powder,1 tsp Red chili powder,1 tsp Turmeric powder,2 Pcs Cinnamon,3 Pcs Cardamom,1 pc Bay leaf,3 Pcs Cloves,1/2 tsp Roasted garam masala powder,1/3 cup Vegetable/soybean oil,To taste Salt,1 tsp Sugar (optional)",,"500,200,40,5,5,2.5,2.5,2.5,2,3,1,3,0.5,80,5,5",0,0,1,0,1,253,24.54,10.04,14.63,4.56
Mola Chorchori,,4,10,15,"200 gm Mourala/Mola Fish,2 pcs Potato,1/2 cup Chopped onion,6/7 pcs Green chili slices,2 pcs Tomato slice,2 tbsp Vegetable/soybean oil,1 tbsp Mustard oil,1 tbsp Coriander leaves,To taste Salt,1 tsp Turmeric powder",,"200,300,75,28,100,30,15,5,5,5",0,0,1,0,1,227.59,18.1,11.17,12.42,2.14
Vapa Ilish,,4,20,10,"4 pcs Hilsa fish,1 cup Chopped Onions,5/6 pcs Green chilies sliced,1/3 cup Mustard oil,1 tsp Mustard paste,1/2 tsp Turmeric powder,To taste Salt",,"1000,150,28,80,5,2.5,5",0,0,1,0,1,508.1,3.8,25.77,43.51,0.84
Dharosh Chingri Chorchori,,4,10,20,"500 gm Okra, cut into 1,1/2 cup Shrimp, medium or small in size,2 tbsp Chopped onions,5-7 pcs Green chilies,1/2 tsp Turmeric powder,To taste Salt,1 tsp Cumin powder,2 tbsp Vegetable/soybean oil",,"500,75,30,28,2.5,5,5,30",0,0,1,0,1,155.31,10.73,11.92,8.36,4.44
Masala Fish Fry,,2,15,20,"1 pc Any boneless fish like telapia, coral (Whole, 250 gm),1/2 tsp Garlic paste,1/2 tsp Ginger paste,1 pinch Black pepper powder,1 tsp Soya sauce,1/2 tsp Dried red chili powder,1/2 tsp Lemon juice,1 tsp Corn flour,1/3 cup Vegetable/soyabean oil to fry,To taste Salt",,"250,2.5,2.5,0.2,5,2.5,2.5,5,80,5





",0,0,1,0,1,491.44,3.78,25.55,42.33,0.45
Rui Machher Kalia,,10,10,20,"10 pcs Rohu fish,1/2 cup Chopped onion,1 tbsp each Ginger-garlic paste,1 pc Cinnamon,1 pc Cardamom,1 tbsp Cumin powder,1 tsp Coriander powder,1 tbsp Dried red chili powder,1tsp Turmeric powder,1/3 cup Vagetable/Soybean oil,2 pcs Tomato,5/6 pcs Green chili,To taste Salt",,"1000,75,15,2.5,0.5,15,5,15,5,80,150,24,5",0,0,1,0,1,189.22,4.01,19.84,10.71,1.36
Palong Chingri,,4,15,20,"600 gm Spinach,200 gm Shrimps,2 tbsp Chopped onion,4/5 pcs Green chilies,1 tsp Turmeric powder,2 tbsp Vegetable/Soybean oil,To taste Salt",,"600,200,30,20,5,30,5",0,0,1,0,1,150.75,7,15,8,3.45
Begun Diye Rui Machh,,6,10,20,"500 gm Eggplant/aubergine/brinjal,5/6 pcs Rohu fish,2 tbsp Chopped onion,5-7 pcs Green chilies,1 tsp Turmeric powder,1 tsp Mustard paste,2 pcs Tomato,2 tbsp Vegetable/soybean oil,To taste Salt",,"500,500,30,25,5,5,200,30,5",0,0,1,0,1,207.83,8.15,24.6,9.97,3.3
Fish Finger,,4,45,15,"300 gm fBoneless fish,1/2 tsp each Ginger-garlic pastes,1 tsp Soy sauce,1 tsp Red chili powder,Just a pinch Black pepper,1/2 tsp Lemon juice,1 pcs Egg,1/4 cup Wheat flour,1/2 cup Breadcrumb,To deep fry Oil,To taste Salt",,"300,2.5,2.5,5,5,1,2.5,50,30,50,200,5",0,0,1,1,1,210,17.2,18.55,7.15,0.95
Shim Shorputir Jhol,,6,20,30,"500 gm Bean,500 gm Puntius Fish,2 tbsp Chopped onion,5/7 pcs Sliced green chili,1 tsp Turmeric powder,1/2 tsp Mustard paste,2 pcs Tomato,2 tbsp Vegetable/soybean oil,To taste Salt,1 pc Potato (Big, optional)",,"500,500,30,20,5,2.5,200,30,5,300





",0,0,1,0,1,203.83,14.9,22.94,6.63,4.08
Puishak Chingri,,4,15,15,"500 gm Malabar spinach,200 gm Small shrimp,2 tbsp Chopped onion,5-6 pcs Sliced green chili,1 tsp Turmeric powder,To taste Salt",,"500,200,30,20,5,5",0,0,1,0,1,84.75,7.98,12.78,1.13,2.55
Parshe Macher Chochchori,,4,10,15,"7/8 pcs Parshe fish (Mullet),1 pc Potato, medium in size,1/2 cup Chopped onion,6/7 pcs Green chili slices,2 pcs Tomato slices,1 tbsp Coriander leaves (Optional),2 tbsp Mustard oil,1 tsp Turmeric powder,To taste Salt",,"500,200,75,25,150,15,30,5,5",0,0,1,0,1,266.75,12.93,29.35,13.28,2.38
Rui Machher Jhol,,4,15,30,"2 pcs Potato (medium size),4 pcs Rohu fish,12/15 pcs Kumra Bori (Pellets made locally with dal & ash gourd),½ cup Chopped onion,1 tsp Cumin powder,½ tbsp Red chilli powder,½ tsp Turmeric powder,½ cup Oil,2 pcs Tomato,½ tsp Roasted cumin powder,Salt to taste",,"200,800,100,75,5,7.5,2.5,120,200,2.5,5",0,0,1,0,1,587.75,37.2,36.48,35.15,5.8
Sorisha Ilish,,4,30,15,"4 pcs Hilsa fish,3 tbsp Mustard oil,1 tbsp Mustard paste,1/2 cup Chopped onion,5-6 pcs Green chili slice,2 tsp Turmeric powder,To taste Salt",,"800,45,15,75,20,10,5",0,0,1,0,1,417.25,4,35.35,28.58,1.25
Hilsa Fish Fry,,3,20,15,"3 pcs Hilsa fish pieces,1/2 tsp Turmeric powder,1/2 tsp Dried red chili powder,1/2 tsp or to taste Salt,1/4 cup Chopped onion,2-3 pcs Sliced Green chili,1 tbsp Vegetable/soyabean oil",,"450,2.5,2.5,2.5,40,8,15",0,0,1,0,1,355.5,2.33,34.83,22.33,0.82
Egg Salad,,2,10,10,"2 pcs eggs,1 pc Cucumber,1 pc Tomato,2 tbsp Chopped onion,1 pc Chopped green chili,1 tbsp Chopped coriander leaves,2 tbsp Lemon juice,1 tbsp Olive oil,1 tbsp Mayonnaise,1/2 tbsp Black pepper powder,To taste Salt,1/2 cup Cabbage/Capsicum",,"100,200,150,30,4,15,30,15,15,7.5,5,50",1,1,1,1,1,220,12.1,8.05,17,2.48
Crispy Egg Ball,,4,20,20,"2 pcs Grated boiled eggs,1 tbsp Finely chopped onion,1 tsp Chopped green chilies,1 tsp Chopped coriander leaves,1 tbsp Chopped capsicum,To taste Salt,1/2 tsp Roasted coriander powder,1/2 tsp Roasted cumin powder,1 tbsp Corn flour,1 tbsp Gram flour,1/2 tsp,Red chili powder,A pinch Italian mixed herbs,To fry Oil",,"100,15,4,5,15,5,2.5,2.5,15,15,2.5,0.5,100",1,0,0,1,0,80.5,4.44,3.85,5.47,0.69
Dimer Barfi,,4,10,20,"4 pcs egg,1 cup Liquid milk,1/2 cup Milk powder,1/2 cup Ghee,1 cup Sugar,Just a pinch Salt,1 tbsp Semolina,1/2 tsp Cardamom powder",,"200,240,60,120,200,0.5,15,2.5",1,0,0,1,0,618,67.9,12.88,34.25,0.18
Milk Egg Caramel Pudding ,,4,20,30,"2 pcs Egg,3/4 cup Sugar,1 cup Milk,1/2 tsp Vanilla essence",,"100,150,240,2.5",1,0,0,1,0,218.63,41,5.15,4.48,0
Dim Alur Curry,,6,15,30,"4 pcs Egg,2 pcs Potato (Medium size),2 tbsp Chopped onion,1 tsp Garlic paste,1 tsp Dried red chili powder,1 tsp Cumin powder,1 tsp Turmeric powder,1 tsp Sugar,2 tbsp Vegetable/soyabean oil,2 cups Coconut milk,4-5 pcs Green chilies (Optional),To taste Salt,1 pc Bay leaf,2 pcs Cinnamon,1 pc Cardamom",,"200,200,30,5,5,5,5,5,30,480,20,5,1,2,1",1,0,1,0,1,235.83,16.92,6.72,18.45,1.82
Dim Vuna,,10,15,20,"10 pcs Egg,2 cups Coconut milk,1/2 cup Chopped onion,1 tsp Garlic paste,2 tsp Cumin powder,1 tsp Dried red chili powder,1/2 tsp Turmeric powder,1 pc Cinnamon,1 pc Cardamom,1 pc Bay leaf,4-5 pcs Green chili,3 tbsp Vegetable/Soybean oil,1 tsp Crispy fried onion (beresta, optional),To taste Sugar,To taste Salt",,"500,480,60,5,10,5,2.5,1,0.5,1,20,45,2,5,5",1,0,1,0,1,178.1,3.38,7.29,14.83,0.57
Lau Chhechki,,5,15,15,"1 pc Bottle gourd (Medium size),1/2 cup Chopped onion,1 tbsp Chopped garlic,5-6 pcs Sliced green chili,2 pcs Bay leaf,1 tsp Whole cumin,2 pcs Egg,1 tsp Turmeric powder,3 tbsp Vegetable/soybean oil,To taste Salt",,"600,60,10,20,2,5,100,5,45,5",1,0,1,0,1,133.2,7.92,3.56,10.38,1.22
Mishti Alur Roshbora,,6,20,30,"2 large size Sweet potatoes,2 tbsp Milk powder,2 tbsp Semolina,1/4 tsp Baking soda,1 tsp Ghee,2 pcs Cardamom,1 cup Jaggery,2 cups Water,For deep frying Oil",,"400,15,20,1.25,5,1,200,480,300

",1,0,0,1,0,279.42,53.87,2.85,6.72,2.23
Langcha,,6,20,20,"1 cup Milk powder,1 pc Egg,2 tbsp Semolina,2 tsp Flour,1/2 tsp Baking powder,2 tbsp Ghee,1 and 1/2 cups Sugar,To deep fry Oil,4 cups Water,1 pc Cardamom",,"120,50,30,10,2.5,30,300,300,960,0.5",1,0,0,1,0,417.67,70.02,7.22,13.88,0.23
Dark Chocolate Cake,,4,20,30,"2 pcs eggs,2/3 cup Sugar,1/4 cup Butter,100 gm Dark chocolate,1/2 cup Flour,1/4 cup Cocoa powder,1/2 tsp baking powder,Just a pinch Salt",,"100,135,57,100,60,30,2.5,0.5",1,0,0,1,0,469.75,60.25,7.53,24.1,5.2
Coconut Laddu,,4,10,20,"1 and 1/2 cup Shredded coconut,1 cup Sugarcane jaggery,1/4 tsp Cardamom powder",,"120,150,1.25",1,0,0,1,0,350.5,56.1,1.88,15.38,4.15
Mishti Doi,,4,10,20,"3 cups Milk,1/2 cup Sugar,1/2 cup Sour yogurt",,"720,100,120",1,0,0,1,0,,,,,
Puli Pitha,,6,30,20,"1 and 1/2 cup Shreded coconut,1/2 cup Sugar,2 pcs Cinnamon,1 pc Cardamom,1 cup Rice flour,1/2 cup Wheat flour,To deep fry Oil",,"150,100,5,2,120,60,500",1,0,0,1,0,,,,,
Sabudana Halwa,,3,10,30,"200 gm sago,1/3 cup Sugar,2 tbsp Ghee,6/7 pcs Cashew nuts,2 pcs Cinnamon,2 pcs Cardamom,Just a pinch Food color",,"200,67,30,12,5,4,1",1,0,0,1,0,,,,,
Vanilla Cup Cake,,6,20,30,"1/2 cup Flour,1/2 cup Sugar,2 tbsp Powder milk,2 pcs Eggs,2 tbsp Oil,1/2 tsp Baking powder,1/2 tsp Vanilla essence",,"60,100,30,136,30,2.5,2.5",1,0,0,1,0,,,,,
Rasmalai,,4,20,15,"1 and 1/2 cup Milk powder,3 cup Liquid milk,1/4 tsp Cardamom powder,1/2 cup Sugar,1/2 tsp Baking powder,1tbsp Ghee,1 pc Egg",,"180,720,1.25,100,2.5,15,50",1,0,0,1,0,,,,,
Falooda,,4,15,40,"1/2 cup Sago,2 cups Milk,1 and 1/2 cup Sugar,2 tsp Agar agar powder,2 tsp Milk powder,As required Food colors",,"90,480,300,10,10",1,0,0,1,0,,,,,
Chhanar Jilapi,,6,30,30,"1 and 1/2 liters Liquid milk,5 tsp Flour,2 tsp Milk powder,2 tsp Semolina,1/2 tsp Baking powder,1 tsp Ghee,1/4 tsp Cardamom powder,1 and 1/2 cups Sugar,1 cup Water,To fry Oil,1/2 cup Plain yogurt",,"1500,25,10,10,2.5,5,1.25,300,240,120",1,0,0,1,0,,,,,
Mohabbat Ka Sharbat,,2,30,10,"As required Sago,1/4 cup Sugar,1/4 cup Water,1/2 tsp Rose water,A drop Food color,2 cups Cold liquid milk,As required Watermelon cubes",,"50,50,60,2.5,1,480,50",1,0,0,1,0,,,,,
Balushai Mishti,,4,15,30,"1 and 1/2 cup Flour,1/4 cup Ghee,1/2 tsp Baking powder,1 cup Sugar,1 pc Cardamom,To fry Oil",,"180,60,2.5,200,1,100",1,0,0,1,0,,,,,
Dudh Semai,,4,10,30,"200 gm Vermicelli,1 liter Liquid milk,As required Dry nuts & raisins,2 tbsp Ghee,1/2 cup Sugar
1/2 tsp Cinnamon-cardamom powder,Just a pinch Salt",,"200,1000,30,100,2.5,1",1,0,0,1,0,,,,,
Roshogolla,,5,40,50,"1 and 1/2 liter Full cream liquid milk,1/2 cup Yogurt,1 cup Sugar,1 tsp Milk powder,2 tbsp Flour,Just a pinch Cardamom powder",,"1500,125,200,5,30,0.5",1,0,0,1,0,,,,,
