name,image,serving_size,prep_time_in_mins,cook_time_in_mins,ingredients,instructions,is_vegetarian,is_breakfast,is_lunch,is_snack,is_dinner,energy_per_serving_kcal,carbohydrate_per_serving_g,protein_per_serving_g,fat_per_serving_g,fiber_per_serving_g
Chitoi Pitha,https://i0.wp.com/bdfoodrecipe.com/wp-content/uploads/2019/01/chitoi-pitha.jpg?w=1140&ssl=1,6,30,30,"1 cup Chinigura/kalijeera rice ,1/2 cup Normal rice,2 tbsp Scraped coconut (optional),1 & 1/2 cups Lukewarm water ,1 tsp Vegetable/soybean oil,1 tsp Water,To taste Salt","1. Wash both rices together properly and soak for at least 8 hours or overnight. Drain water.

2. Now blend rice smoothly with one & half cups lukewarm water and salt. Do not use too hot or boiling water. Always use lukewarm water. Now keep a strainer on a bowl and pour the rice batter on to strain any leftover rice granules. Now beat for 2-3 minutes using a spoon or hand whisk. Cover & rest for 15 minutes. After 15 minutes scraped coconut can optionally be added.

3. You can use any kind of metallic, earthen or nonstick pan that is especially made for Chitoi Pitha. Make a water-oil mixture in a bowl mixing 1 tsp each to grease the pan or mould every time before pouring the pitha batter by a piece of clean cloth or tissue paper. Now heat the pan on medium flame, grease the mould and pour some batter to fill the mould. Cover and cook. Ensure that no air should be released through the lid.

4. Cook for 4-5 minutes on low flame or till your required crispiness. The more the perforations into the pitha, the more the perfection. If the pitha has no or very few perforations or looks solid, add little lukewarm water to thin the batter. Repeat the process again to make all pithas. Please keep in mind that normally first 1-2 pithas maynot be good. Keep making patiently, the pithas afterwards must come out perfect. Serve these pithas warm with your favorite sauce, jaggery, scraped coconut, pickle or meat curry.",1,1,0,1,0,197,40,4,2,1
Vuna Khichuri,https://i0.wp.com/bdfoodrecipe.com/wp-content/uploads/2019/11/vuna-bhuna-khichuri-recipe.jpg?w=1140&ssl=1,6,15,45,"500 gm Normal rice,200 gm Chickpea dal,1/2 cup Vegetable/soybean oil,2 tbsp Ghee,1/2 tsp Black cumin (Shahi jeera),2 pcs Bay leaves,4 pcs each Whole cinnamon & cardamom,1/2 cup Chopped onion,1 tbsp each Garlic-ginger pastes,1 tsp Cumin powder,1 tsp Turmeric powder,4-5 pcs Whole green chilies,1 tbsp Dried red chili powder,As required Crispy fried onion/beresta,To taste Salt,4 pcs Cloves,5-6 pcs Black pepper,1/2 tsp Nutmeg-mace paste","1. Wash chickpea and soak for overnight or at least 4 hours. Then wash and drain well. Wash rice and drain before cooking.

2. Heat oil and 1 tbsp ghee in a pan on medium heat. Add black cumin (Shahi jeera), bay leaves, cinnamon, cardamom, cloves and whole black pepper. When it starts bubbling, add chopped onion and fry for a while. Now add garlic and ginger pastes. Mix well. Add salt. Add small amount of water so that the spice afterwards ain’t burnt. Add cumin powder, red chili powder & turmeric powder and stir for a while. Add mace-nutmeg paste. Cook for 1 min.

3. Now add peas. Fry them for 2 minutes. Now add 1 cup of water. Cover and cook on medium flame till half-cooked. Keep stirring. When the water is dried, add rice and mix with peas very well. Now add 6 cups of boiling water, cover and cook on high heat.

4. Stir occasionally to avoid burning. When the water is dried and everything is cooked, add rest of the ghee, green chilies and fried onions on top. Now turn the flame off and close the lid and keep for 10 minutes. Serve Vuna Khichuri with Beef/Mutton Curry.",1,0,1,0,1,721,97,14,32,9
Zarda,https://i0.wp.com/bdfoodrecipe.com/wp-content/uploads/2019/09/bangladeshi-jorda-zarda-recipe.jpg?w=1140&ssl=1,8,20,30,"2 cups Aromatic rice (Kalojeera/Chinigura),1 cup Sugar,2 pcs Bay leaves,2 pcs Cinnamon,5-6 pcs Cloves,1/2 tsp Cardamom powder,1/2 cup Ghee,As required Dry fruits (Nuts, raisins etc.),As required Confiture (Morobba),1 tsp Food color (Orange/Egg Yolk)","1. Wash rice till you get clean water, soak in water for 10 minutes and drain well.

2. Now pour enough water in a large pan and 1 tsp soybean/vegetable oil. Bring it to a boil. While boiling add rice in it, also add 1 tsp egg yolk or orange food color and cook for exactly 6 minutes. Rice should be cooked 70%. Then drain water. No need to wash rice with cold water this time.

3. Now place a pan on the burner and add sugar & 1/2 cup of water in it. Turn the heat on and add cardamom powder, cinnamon, cloves, bay leaves, ghee and wait till sugar dissolved and starts boiling. While boiling add rice in it. Give a nice mix by a spatula. Cover with the lid and cook for 7 minutes on medium-low heat.

4. Now add dry fruits, confiture/morabba (optional) and cover them with some rice. Now cook for 5 minutes more on very low heat. Then turn the heat off. Add 1 tsp ghee on the top and leave for 5 minutes with the lid. Your sweet rice is ready to be served.",1,0,1,0,1,460,70,4,18,1
Butter Cookie ,https://i0.wp.com/bdfoodrecipe.com/wp-content/uploads/2021/09/homemade-butter-cookies-recipe.jpg?w=1140&ssl=1,4,20,30,"1/2 cup Salted Butter,1/2 cup Powdered sugar,1 pc \Egg yolk,1/2 tsp Vanilla extract,1 cup Wheat flour,2 tbsp Corn flour,2 tbsp Milk powder,1 tsp Baking powder","1. Take a bowl. Take butter and powder sugar. Mix well with a spoon or whisk. Add and mix egg yolk and vanilla extract. Place a strainer and strain corn flour, milk powder, flour & baking powder and give a nice mix.

2. Now knead the dough and then cut into very small pieces. Make small balls and press to give biscuit or cookie shape. You can give them some simple design with a fork or toothpick.

3. Brush a baking tray with oil or butter. Place the cookies on it. Preheat oven or pan which you prefer to bake.

4. Bake on 160°C for 15-20 minutes in oven or on a very low flame for 25-30 minutes in a pan with a stand. Then take them out and let them cool down completely. Now you can serve or store in a airtight container up to 15 days. ",1,1,0,1,0,433,43,5,27,1
Chocolate Cake,https://i0.wp.com/bdfoodrecipe.com/wp-content/uploads/2021/05/hot-milk-chocolate-cake.jpg?w=1140&ssl=1,6,20,30,"2 pcs Egg,1 cup Flour,1/4 cup Cocoa powder,1 tbsp Milk powder,1 tsp Baking powder,1/4 tsp Baking soda,3/4 cup Sugar,2 tbsp Oil,1 tsp Vanilla essence,1 tbsp Butter,1/2 cup Liquid milk","1. Firstly mix all dry ingredients together and strain with a strainer. Keep aside.

2. In a blender jug take eggs of normal temperature, sugar, oil and vanilla essence. Blend very well for 2-4 minutes or till sugar melt. When they turn into bubbly and fluffy mixture stop blending.

3. In a large bowl take all dry ingredients and mix well. Then gradually add egg mixture and mix with a spatula or whisk very patiently. Do not Over mix .

4. Boil milk and butter in a pan. Then gradually add this with cake batter and mix with a spatula or whisk.

5. Grease a cake mold with oil or butter. Place a baking paper at bottom. Pour cake mix/batter in it and tap few times to remove bubbles.

6. Preheat a pan with lid for 5 minutes. Then place a stand and keep cake mold in it. Bake on very low flame for 40-45 minutes with the lid. If you want to bake in oven preheat your oven for 10 minutes. Then bake your cake in 160°C for 25-30 minutes.

7. After 45 minutes check with a toothpick. If toothpick comes out clean the cake is ready to serve. If not bake for 5 minutes more. Follow the same process for oven also. Then take the mold out and keep to let it cool down completely. De-mold with a knife or spoon. Cut into pieces of your favorite size and serve. ",1,0,0,1,0,296,46,7,11,2
Shahi Tukra,https://i0.wp.com/bdfoodrecipe.com/wp-content/uploads/2021/05/shahi-tukra-recipe.jpg?w=1140&ssl=1,4,10,20,"6 pcs Bread,2 cups Liquid milk,2 tbsp Powder milk,1 tsp Custard powder,1/4 cup Sugar,1/4 tsp Cardamom powder,1/2 cup Ghee,As required Mixed dry nuts","1. Shallow fry nuts with ghee and keep it aside. Now heat ghee on medium low flame and fry bread pieces till brown. Keep on serving tray.

2. In a pan pour liquid milk, add milk powder, custard powder, sugar, cardamom powder and mix well. Now turn the flame on, keep stirring till it turns into thick malai.

3. Now pour this malai directly on the bread and leave it to cool down & soak. Then keep in the refrigerator and serve cold. Sprinkle dry nuts on the top while serving.",1,0,0,1,0,558,46,11,37,2
Milk Cookies,https://i0.wp.com/bdfoodrecipe.com/wp-content/uploads/2021/04/mini-biscuits-milk-cookies.jpg?w=1140&ssl=1,4,20,30,"1 tbsp Butter,2 tbsp Icing sugar,1/4 cup Corn flour,2 tbsp Flour,1/4 cup Milk powder,1/2 tsp Baking powder,2 tsp Liquid milk","1. Take a bowl. Take butter and sugar. Mix well with a spoon. Place a strainer and add & strain corn flour, milk powder, flour & baking powder and give a nice mix. Add liquid milk and mix everything very well.

2. Now knead the dough and then cut into very small pieces. Make small balls and press to give biscuit or cookie shape.

3. Brush a baking tray with oil or butter. Place the cookies on it. Preheat oven or pan which you prefer to bake.

4. Bake on 160°C for 15-17 minutes in oven or on a very low flame for 25-30 minutes in a pan with a stand. Then take them out and let them cool down completely. Now you can serve or store in a airtight container up to 15 days. ",1,0,0,1,0,136,20,3,5,0
Milk Bun,https://i0.wp.com/bdfoodrecipe.com/wp-content/uploads/2021/03/milk-bun-pav-bread.jpg?w=1140&ssl=1,4,150,25,"1.5 cups Flour,2 tbsp Milk powder,1/2 tbsp Dry yeast,1 tbsp Sugar,1 tsp or to taste Salt,1 pc Beaten egg,1/2 cup Melted butter","1. Take a large bowl. Add flour, milk powder, sugar, salt and yeast. Mix all dry ingredients. Then add beaten eggs and butter. Now gradually add lukewarm liquid milk and make a soft dough. Add butter and again knead the dough for 2 to 3 minutes. Cover and leave it for 2 hours to activate yeast.

2. After two hours the dough will get double in size. Knead the dough again. Stretch and fold into inside with your hands. Now place it on the tray and flatten with your hands into round shape. Cut into 9 equal pieces.

3. Now make small balls and place on the baking tray. Cover and leave them for 20 minutes to rise. Then brush beaten egg on the top.

4. Preheat oven with 160 degree centigrade for 10 minutes. Bake for 15-17 minutes. If you want to bake in gas induction heat a large pan on high flame. Put a stand. Then place the tray on the stand and bake on low flame for 20 to 25 minutes. When it is perfectly done, take them out. Cool down a bit and then serve warm.",1,1,0,1,0,440,40,9,28,2
Cupcake,https://i0.wp.com/bdfoodrecipe.com/wp-content/uploads/2019/03/2-Minute-Microwave-Cupcake.jpg?w=1140&ssl=1,1,10,2,"3 tbsp Wheat flour,2 tbsp Sugar,2 tbsp Vegetable oil/butter,1 tbsp Cocoa powder,3 tbsp Liquid milk,1/4 tsp Baking powder,Just a pinch Baking soda,1 tsp Chocolate chips","1. Take a microoven-proof cup. Add all ingredients and mix very well with a fork. There shouldn’t have any lump in the mixture.
2. Now bake it in a microoven for 2 minutes. Check with a toothpick. If the toothpick doesn’t come clean, then bake for another minute. If it is clean then serve hot.

3. Do not overbake, otherwise cake will be dry.",1,1,0,1,0,529,59,6,33,3
Paratha,https://i0.wp.com/bdfoodrecipe.com/wp-content/uploads/2020/11/bella-chara-no-dough-porota-paratha-recipe.jpg?w=1140&ssl=1,2,15,20,"1 cup Wheat flour,1 tbsp Milk powder,1/2 tsp Sugar,To taste Salt,To fry Oil","1. In a bowl take all purpose flour, sugar, salt and milk powder. Add water gradually and make a smooth batter. Whisk the batter for 2-3 minutes till smooth. Cover and rest for 5 minutes.

2. Heat a pan and brush oil all over the pan. Then turn flame into low and pour a spoonful of batter in the pan. Spread like a round shape roti. Then allow it to cook one side.

3. When done, flip it and cook another side. Add 1 tsp of oil and cook both sides till brown in color. Then take out of the pan and keep on a tissue paper to absorb excess oil. Then serve. ",1,1,0,1,0,351,50,8,13,2
Garlic Bread,https://i0.wp.com/bdfoodrecipe.com/wp-content/uploads/2020/09/dominos-garlic-bread-recipe.jpg?w=1140&ssl=1,4,120,20,"1 cup Wheat flour,1 tsp Dry yeast,As required Warm milk or water,2 tbsp Oil,1 tsp Sugar,To taste Salt,1 tbsp Butter,1 tbsp Chopped garlic,2 tbsp Coriander leaves,As required Grated cheese,As required Chili flakes,As required Italian mixed herb","1. Take a large bowl. Add flour, sugar, salt and yeast. Mix all dry ingredients. Then gradually add lukewarm liquid milk and make a soft dough. Add oil and again knead the dough for 2 to 3 minutes. Cover and leave it for 2 hours to activate yeast.

2. After two hours the dough will get double in size. Knead the dough again. Stretch and fold into inside with your hands. Now place it on the tray and flatten with your hands into round shape.

3. Now in small mixing bowl add butter, chopped garlic & coriander leaves and mix. Then spread half of this mixture on the half of the bread. Add grated cheese and sprinkle chili flakes and oregano-parsley. Fold into half and spread remaining butter mix and sprinkle chili flakes & oregano-parsley on the top.

4. Preheat oven with 160 degree centigrade for 10 minutes. Bake for 15-20 minutes. When it is perfectly done, take out of the oven. Cool down a bit, cut into pieces and serve warm.",1,0,0,1,0,234,26,5,12,1
Malai Cake,https://i0.wp.com/bdfoodrecipe.com/wp-content/uploads/2020/07/milk-malai-cake-recipe.jpg?w=1140&ssl=1,4,30,40,"1 cup Wheat flour,3 pcs Eggs,1/2 cup for cake, 1/4 cup for malai Sugar,1/3 cup Oil,1 tsp Baking powder,2 tbsp Powder milk,3 cups Liquid milk,1/4 tsp Cardamom powder,As required Chopped dried nuts & fruits","1. First of all mix all dry ingredients together and strain with a strainer. Keep aside.

2. Take normal temperature eggs in a large bowl. If they were in fridge, keep them out of the fridge at least one hour ago. Carefully separate egg yolks and keep it aside. Now beat egg whites with a hand beater or hand whisk. When it turns into foam, gradually add icing sugar/sugar and beat well. After that gradually add egg yolks and oil or melted butter and beat again.

3. Now add the mixture of dry ingredients. Gradually add them and mix with a spatula or spoon. Do not over-mix or do not use hand beater in this stage.

4. Grease a cake mold with oil or butter placing a parchment paper or normal paper at bottom. Pour cake mix/batter in it. Tap few times to remove bubbles.

5. Preheat your oven for 10 minutes. Then bake your cake in 160°C for 20 minutes. After 20 minutes check with a toothpick. If toothpick comes out clean the cake is ready. If not bake for 5 minutes more.

6. Now take 3 cups of liquid milk, sugar, cardamom powder and bring it to boil. Reduce 3 cups of milk into 2 cups. Let it be cool a bit. Then pour it on the top of the cake. You can sprinkle some dried fruits & nuts on the top optionally. Keep it in the fridge. Let it completely be cool down. Then serve. ",1,0,0,1,0,334,39,9,15,1
Stovetop Pizza,https://i0.wp.com/bdfoodrecipe.com/wp-content/uploads/2020/07/no-oven-pan-pizza-recipe.jpg?w=1140&ssl=1,4,20,30,"1 cup Flour,1 tsp Sugar,1 tsp Instant dry yeast,2 tbsp Oil,To taste Tomato sauce/pizza sauce,As required Grated cheese,As required Capsicum,As required Chopped onion,As required Sausage,As required Mixed herbs,As required Chili flakes,To taste Salt","1. Take a large bowl. Add flour, sugar, salt and yeast. Mix all dry ingredients. Then gradually add lukewarm liquid milk and make a soft dough. Add oil and again knead the dough for 2 to 3 minutes. Cover and leave it for 2 hours to activate yeast.

2. After two hours the dough will get double in size. Knead the dough again. Stretch and fold into inside with your hands. Now place it on the fry pan and flatten with your hands till your desired size with common pizza shape.

3. Make some holes with a fork on the surface to avoid unnecessary bubbles. Cover and bake on very low flame one side for 5 minutes. Then bake another side for another 5 minutes. Now flip it and add tomato sauce, cheese, sausage, onion, capsicum or any of your favorite toppings.

4. Cover it and cook till everything is well cooked and cheeses are melted. Then cut into pieces and serve warm.",0,0,0,1,0,244,26,7,12,2
Mughlai Paratha,https://i0.wp.com/bdfoodrecipe.com/wp-content/uploads/2020/07/mini-moglai-porota.jpg?w=1140&ssl=1,2,30,20,"1 cup Wheat flour,1 pc Egg,1/2 cup Chopped onion,1 tsp Chopped green chili,1 tbsp Coriander leaves,1/2 tsp Roasted cumin powder,To deep fry Oil,To taste Salt","1. In a bowl take flour, salt and 1 tsp oil. Mix them nicely with your hand. Add water gradually and make a soft dough. Knead the dough for 2-3 minutes till smooth. Grease some oil over the dough, cover and rest for 30 minutes.

2. Meanwhile prepare egg staffing. In a bowl take green chilies, chopped onion, coriander leaves, cumin powder, salt & egg and mix everything well. Keep it aside.

3. Now take the dough and cut into 6 equal pieces. Take all pieces and give them ball-shape by hand one by one. Take a ball and flatten as thin as possible. Place some egg stuffing in middle and close it by stretching the edges towards the center like paratha.

4. Heat oil in a pan for deep fry. Add mini parathas carefully in it and fry one side till brown. Then flip it and fry both sides till brown on medium-low flame. Then take them out, leave them on a tissue paper to absorb excess oil and serve warm with chopped cucumber, onion and/or ketchup or sauce. ",1,0,0,1,0,502,49,11,29,2
Vanilla Cake,https://i0.wp.com/bdfoodrecipe.com/wp-content/uploads/2020/07/easy-vanilla-cake-recipe.jpg?w=1140&ssl=1,4,20,50,"1/2 cup All purpose flour,1 tsp Baking powder,2 pcs Egg,1/2 cup Sugar,1/4 cup Oil/ butter,1 tsp Vanilla essence","1. Firstly mix all dry ingredients together and strain with a strainer. Keep aside.

2. In a blender jug take eggs of normal temperature, sugar, oil and vanilla essence. Blend very well for 2-4 minutes or till sugar melt. When they turn into bubbly and fluffy mixture stop blending.

3. In a large bowl take all dry ingredients and mix well. Then gradually add egg mixture and mix with a spatula or whisk very patiently. Do not overmix.

4. Grease a cake mold with oil or butter. Place a baking paper at bottom. Pour cake mix/batter in it and tap few times to remove bubbles.

5. Preheat a pan with lid for 5 minutes. Then place a stand and keep cake mold in it. Bake on very low flame for 40-45 minutes with the lid. If you want to bake in oven preheat your oven for 10 minutes. Then bake your cake in 160°C for 30-35 minutes.

6. After 45 minutes check with a toothpick. If toothpick comes out clean the cake is ready to serve. If not bake for 5 minutes more. Follow the same process for oven also. Then take the mold out and keep to let it cool down completely. De-mold with a knife or spoon. Cut into pieces of your favorite size and serve. ",1,0,0,1,0,334,37,5,18,0
Aloo Paratha,https://i0.wp.com/bdfoodrecipe.com/wp-content/uploads/2020/02/alu-aloo-paratha.jpg?w=1140&ssl=1,4,30,20,"1 and 1/2 cups Wheat flour,1 cup Boiled potato,1 tsp Chopped onion,1 tsp Chopped green chilies,1 pc Roasted/fried dried chili,1 tbsp Chopped coriander leaves,1/2 tsp Roasted cumin powder,1/2 tbsp Roasted coriander powder,1/2 tsp Chat masala powder (optional),To fry Ghee/butter/oil,To taste Salt","1. In a bowl take flour, salt and 1 tbsp oil. Mix them nicely with your hand. Add water gradually and make a soft dough. Knead the dough for 2-3 minutes till smooth. Grease some oil over the dough, cover and rest for 30 minutes.

2. Meanwhile prepare potato for staffing. In a bowl take mashed potatoes, green chilies, onion, dry chili, coriander leaves, cumin powder, coriander powder, chat masala, salt and mix everything well. Keep it aside.

3. Now take the dough and cut into 5 equal pieces. Take all pieces and give a ball shape by hand one by one. Take a ball and flatten by hands to make some space inside. Place some potato stuffing in middle and close it by stretching the edges towards the center. Now flatten by a roller as thin as paratha we make at home or slightly thicker.

4. Heat a pan and place a paratha in the pan. Heat for a minute. Then flip it over and heat for another minute. Now spread some oil, butter or ghee and fry both sides till brown. Then take it out and serve warm. ",1,1,0,1,0,306,46,6,11,2
Egg Pizza Sandwich,https://i0.wp.com/bdfoodrecipe.com/wp-content/uploads/2020/02/egg-pizza-sandwich-recipe.jpg?w=1140&ssl=1,2,10,10,"1 pc Egg,4 pcs Bread slices,As required Grated cheese,As required Chopped sweet chili/capsicum/tomato/cucumber,As required Chili flakes,As required Oregano-parsley,As required Butter,To taste Salt","1. Heat 1 tsp butter in a pan. Whisk an egg with some salt and add to fry. Make scramble of eggs. Then keep it aside.

2. Now in the same pan heat some butter on low flame. Add 2 bread slices and toast both sides of bread slices slightly. Then spread the scrambled eggs, chopped sweet chili/capsicum/cucumber/tomato, grated cheese, chili flakes, oregano and parsley (Italian herbs) on the top of a bread slice.

3. Now place another slice of bread on the top, press lightly. Toast both sides again till cheese melts. When it’s done turn the heat off and cut into sandwich shapes. Serve warm with tomato ketchup.",1,1,0,1,0,326,32,13,16,2
Banana Cake,https://i0.wp.com/bdfoodrecipe.com/wp-content/uploads/2019/11/banana-cake-recipe.jpg?w=1140&ssl=1,4,30,60,"2 pcs Well ripen banana,1 cup Wheat flour,2 pcs Egg,1/2 cup Sugar,1/2 cup Oil/butter,1 tsp Baking powder,1/2 tsp Baking soda,1/2 cup Liquid milk,1 tsp Vanilla essence","1. First of all mix all dry ingredients together and strain with a strainer. Keep aside.

2. Peel off bananas and mash nicely with a fork/spoon. Keep this aside.

3. In a large bowl take two eggs of room temperature. If they were in fridge, keep them out of the fridge before at least one hour. Now beat eggs with a hand beater or hand whisk. When it turns into foamy, gradually add icing sugar/sugar and beat well. After that gradually add oil or butter and beat again. Then add mashed bananas and beat to mix well.

4. It’s time to add the mixture of dry ingredients. Gradually add them and mix with a spatula or spoon. Do not over-mix and use hand beater in this stage. When everything is mixed as smooth batter add milk and vanilla essence and mix with spatula.

5. Grease a cake mould with oil or butter. Pour cake mix/batter in it. Tap few times to remove bubbles.

6. Preheat your oven for 10 minutes. Then bake your cake in 160°C for 45 minutes. After 45 minutes check with a toothpick. If toothpick comes out clean the cake is ready to serve. If not bake for 5 minutes more.",1,0,0,1,0,454,64,9,19,2
Dal Poori ,https://i0.wp.com/bdfoodrecipe.com/wp-content/uploads/2018/10/dal-puri-poori.jpg?w=1140&ssl=1,6,30,15,"1/2 cup Lentil,5 pcs Fried red chili,1 tbsp Chopped coriander leaves (Optional),To taste Salt,1 & 1/2 cups Flour,For deep frying Vegetable/soybean oil,1 tbsp Vegetable/soybean oil,A pinch Turmeric powder,As required Water","1. In a large bowl add flour, salt and oil. Mix with your hand. Now gradually add water of room temperature, knead for 5-7 minutes and make a soft dough. Then grease the dough surface with oil and keep it aside for 30 minutes for rest.

2. Meanwhile let’s cook lentils with a pinch of turmeric powder and salt till the water is fully dried. Now mix the lentil with crushed shallow-fried red chilies and optionally chopped coriander leaves and keep it aside.

3. After 30 minutes take the dough and cut into halves. Take a half portion of dough, knead for a while to give a long shape and make small pieces by cutting by a knife. Take small pieces of dough and make like balls. Now take those balls, flatten them with hands and fill with lentil mixture. Now close the openings and press them by hands to lenticular shapes. Grease a flat surface with oil and flatten them to “Puri” shapes by a roller.

4. Heat oil in a pan for deep frying on medium-low heat. Add the Puries one by one or more if large pan and keep tapping them down into oil by a spatula or a strainer. Flip them up when they swallow and fry both sides till golden brown. Take them out of the oil using a strainer and use kitchen tissue to soak extra oil. Optionally spread some black salt powder over the Puries for great flavor and taste. Server hot with your favorite sauce and salad.",1,0,0,1,0,242,27,5,13,2
Egg Sandwich,https://i0.wp.com/bdfoodrecipe.com/wp-content/uploads/2019/03/egg-dim-sandwich.jpg?w=1140&ssl=1,2,10,20,"8 pcs Bread slices,2 pcs Hard boiled eggs,1 tbsp Chopped onion,1/2 tsp Chopped green chilies,2 tbsp Chopped cucumber,1 tbsp Tomato sauce,2 tbsp Mayonnaise,1/4 cup Butter,To taste Salt","1. Take two hard boiled eggs and mash with a fork. Add onion, green chilies, tomato sauce, mayonnaise, cucumber and salt. Mix everything well. Keep it aside.

2. Now heat a pan and add some butter in it. Toast both sides of bread slices slightly. Then add and spread the egg mixer on the top of the bread.

3. Now add a cheese slice. Place another slice of bread and toast both sides again till cheese melts. When it is done turn the heat off and cut into sandwich shapes. Serve warm.",1,1,0,1,0,734,61,19,46,4
Chicken Bun,https://i0.wp.com/bdfoodrecipe.com/wp-content/uploads/2019/02/chicken-bun-recipe.jpg?w=1140&ssl=1,7,60,45,"500 gm Boneless minced chicken,1 tsp each Ginger-garlic pastes,1/2 tsp Black pepper powder,1 tsp Soy-sauce,2 tbsp Choped onion,1 tsp Chopped green chilies,1 tsp Tomato sauce,1 tbsp Vegetable/soybean oil,To taste Salt","1. Heat oil in a pan. Add minced meat and cook for 2-3 minutes. When meat starts releasing water, add ginger-garlic pastes, black pepper powder, salt, soy-sauce and a small amount of water. Cook till meat is perfectly cooked. Now add chopped green chilies, onion, tomato sauce and cook for another 2 minutes. Keep it aside.

2. Take a cup of warm milk. Add salt, sugar and yeast and mix well. Keep it aside for 10 minutes to activate the yeasts. Mix it with flour and make a soft dough. Add some oil and keep this dough for 2 hours in a warm place. After 2 hours the dough will be doubled in size.

3. Now spread some flour on the top of a counter or table and keep kneading the dough for some times. Then take some dough, stuff some chicken filling inside and make the shape like a bun. Keep it for 7-10 minutes to swell. Then brush some beaten egg on the top of the bun and sprinkle some Sesame or black cumin seeds. Now bake the bun in the electric oven for 25-30 minutes in 180 degree. Those who wants to bake in a pan, place the bun in a pan, cover and bake in a low flame for 40-45 minutes. Your buns are ready to be served.",0,0,0,1,0,194,1,20,12,0
Maltova Cake,https://i0.wp.com/bdfoodrecipe.com/wp-content/uploads/2018/12/maltova-cake-recipe.jpg?w=1140&ssl=1,6,30,45,"3 pcs Egg,3/4 cup Wheat flour,1/2 cup Maltova,1 tsp Baking powder,1/2 cup Sugar,1/2 cup Vegetable/soybean oil,1/2 tsp Vanilla essence,As required Dry fruits (Nuts, raisins, confiture/morobba etc.)","1. Strain the dry items through a strainer except dry nuts.

2. Mix egg and sugar in a big bowl and beat them by a beater till the sugar melts. Now mix oil and beat again for a while.

3. Mix the dry mixture gradually and keep beating. Add vanilla essence. Stop beating when everything blends well together and makes a smooth batter. Now mix dry nuts & others.

4. Grease the cake mould with some oil first and with flour afterwards. Pour the batter into the mould and tap to remove bubbles.

5. For baking in oven, bake for 40-50 minutes in 160°C. For baking on stove, place a plate stand inside a heavy pan and place the cake mould on that stand. Cover the pan with the lid and bake for 50 minutes on lower heat. When done, check inserting a toothpick into the cake. If the toothpick comes out clean, the cake is ready! If comes out wet, needs to bake some more minutes.",1,0,0,1,0,311,39,7,15,1
Murighonto,https://i0.wp.com/bdfoodrecipe.com/wp-content/uploads/2020/06/muri-ghonto-fish-head-recipe.jpg?w=1140&ssl=1,6,30,40,"1 cup Mung Dal,1 pc Big fish head (Rohu/Katla),2 pcs Bay leaves,5 pcs Cloves,5 pcs Black pepper,1/2 cup Chopped onion,1 tbsp Ginger-garlic pastes,1 tsp Cumin powder,1 tsp Red chili powder,1/4 tsp Cardamom powder,1/2 tsp Cinnamon powder,1/2 tsp,Coriander powder,1 tsp Turmeric powder,To taste Salt,5-6 pcs Green chilies,1/2 cup Cooking oil,1/2 tsp Roasted cinnamon, cardamom & cumin powders","1. Dry roast mung dal on medium-low flame. Then wash and soak for 30 minutes.

2. Heat oil in a pan. Add bay leaves, cloves, black pepper & chopped onion and fry till brown. Now add ginger-garlic pastes, cumin powder, cinnamon powder, cardamom powder, red chili powder, turmeric powder, coriander powder, salt and a little amount of water. Keep stirring for 2 to 3 minutes. Then add fish head pieces and mix everything well. Add 1/2 cup of water and cover with the lid. Cook for 5 minutes.

3. Now take the fish head pieces out of the pan and keep aside. Add soaked dal this time and cook for 5-6 minutes. Add 1 cup of water, cover with the lid, cook till 50% done.

4. Then add those fish head pieces and give everything a nice mix. Add water as much as you want the consistency of the gravy. Cook on medium flame with the lid. Keep stirring occasionally to avoid burning.

5. When everything is almost cooked, add 5 or 6 piece of green chilies and cover with the lid. Cook for another 2 minutes. Then turn the flame off and sprinkle roasted cinnamon, cardamom & cumin powders. Serve warm with rice or pulao, even roti, paratha or naan.",0,0,1,0,1,353,23,15,23,7
